연도,월,관람객수,단체관람객수,전시,문화,학술,교육,기타,공휴일수,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),month_sin,month_cos,총축제방문객수
1988.0,1.0,295731.0,15696,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,3.3,-6.9,11.9,-13.4,9.3,5.5,0.5,0.866025403784439,0.0
1988.0,2.0,237922.0,86526,0.0,0.0,0.0,0.0,0.0,2.0,-1.7,4.6,-7.1,12.8,-13.1,0.5,0.5,0.866025403784439,0.5,0.0
1988.0,3.0,425473.0,71815,0.0,0.0,0.0,0.0,0.0,1.0,3.3,9.5,-1.9,18.0,-7.3,42.4,31.5,1.0,6.12323399573677e-17,0.0
1988.0,4.0,717972.0,196901,0.0,0.0,0.0,0.0,0.0,2.0,10.7,18.4,3.6,25.6,-1.0,50.4,23.5,0.866025403784439,-0.5,0.0
1988.0,5.0,736798.0,262934,0.0,0.0,0.0,0.0,0.0,2.0,17.3,24.5,10.8,30.2,4.8,58.3,37.0,0.5,-0.866025403784439,0.0
1988.0,6.0,406480.0,201753,0.0,0.0,0.0,0.0,0.0,1.0,22.2,28.2,17.1,31.7,12.8,70.0,34.5,1.22464679914735e-16,-1.0,0.0
1988.0,7.0,186732.0,35249,0.0,0.0,0.0,0.0,0.0,1.0,24.8,29.1,21.4,33.9,16.6,313.8,63.0,-0.5,-0.866025403784439,0.0
1988.0,8.0,199095.0,22956,0.0,0.0,0.0,0.0,0.0,1.0,25.5,31.2,20.7,35.6,16.4,79.0,25.5,-0.866025403784438,-0.5,0.0
1988.0,9.0,142057.0,29128,0.0,0.0,0.0,0.0,0.0,3.0,20.2,26.7,14.6,30.7,7.1,34.0,20.0,-1.0,-1.83697019872103e-16,0.0
1988.0,10.0,394302.0,150804,0.0,0.0,0.0,0.0,0.0,3.0,13.4,20.9,7.0,26.0,-1.4,6.5,5.5,-0.866025403784439,0.5,0.0
1988.0,11.0,222649.0,74532,0.0,0.0,0.0,0.0,0.0,0.0,4.5,11.6,-1.4,18.6,-7.2,20.0,7.0,-0.5,0.866025403784438,0.0
1988.0,12.0,276218.0,112467,0.0,0.0,0.0,0.0,0.0,1.0,0.1,5.7,-4.7,16.6,-12.0,27.3,12.0,-2.44929359829471e-16,1.0,0.0
1989.0,1.0,121897.0,2826,0.0,0.0,0.0,0.0,0.0,3.0,0.4,4.7,-3.6,11.4,-12.0,70.9,23.5,0.5,0.866025403784439,0.0
1989.0,2.0,94827.0,12275,0.0,0.0,0.0,0.0,0.0,3.0,1.6,7.2,-3.4,12.6,-11.4,51.4,33.5,0.866025403784439,0.5,0.0
